[2023-05-12 10:25:30:0195] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 10:25:30:0195] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 10:25:30:0195] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:25:30:0195] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:25:30:0196] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[55372], devIP[a9fe4140]
[2023-05-12 10:25:30:0197] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe4140]
[2023-05-12 10:25:30:0197] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:25:30:0199] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 10:25:30:0625] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:25:30:0838] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 10:25:30:0841] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[13104]
[2023-05-12 10:25:30:0917] | GigEVisionManager.cpp-L4487: Lost Frame From Net[77], Total Frame Count[0], NetCount[78], CurBlock[0], LastBlock[1]
[2023-05-12 10:26:09:0685] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 10:26:09:0685] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 10:26:09:0685] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:26:09:0686] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:26:09:0686] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[55386], devIP[a9fe4140]
[2023-05-12 10:26:09:0687] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe4140]
[2023-05-12 10:26:09:0687] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:26:09:0689] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 10:26:10:0121] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:26:10:0366] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 10:26:10:0368] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[4416]
[2023-05-12 10:26:10:0445] | GigEVisionManager.cpp-L4487: Lost Frame From Net[154], Total Frame Count[0], NetCount[155], CurBlock[0], LastBlock[1]
[2023-05-12 10:26:25:0644] | GigEVisionManager.cpp-L2308: AppGetCount[286], AppGetCountSucceed[284], ExpectRecv[438], NetRecv[284], ThrowAbnormalImage[0], NetLostFrame[154], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:26:25:0765] | GigEVisionManager.cpp-L2308: AppGetCount[286], AppGetCountSucceed[284], ExpectRecv[438], NetRecv[284], ThrowAbnormalImage[0], NetLostFrame[154], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:26:25:0765] | GigEVisionManager.cpp-L0898: disconnect device ...
[2023-05-12 10:26:25:0778] | GigEVisionManager.cpp-L2308: AppGetCount[286], AppGetCountSucceed[284], ExpectRecv[438], NetRecv[284], ThrowAbnormalImage[0], NetLostFrame[154], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:26:25:0778] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2023-05-12 10:26:25:0827] | GigEVisionManager.cpp-L2840: event thread stop
[2023-05-12 10:26:25:0890] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2023-05-12 10:28:35:0822] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 10:28:35:0822] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 10:28:35:0822] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:35:0823] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:35:0823] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[52762], devIP[a9fe84d8]
[2023-05-12 10:28:35:0825] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe84d8]
[2023-05-12 10:28:35:0825] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:35:0827] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 10:28:36:0302] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:28:36:0524] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 10:28:36:0527] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[7540]
[2023-05-12 10:28:45:0361] | GigEVisionManager.cpp-L2308: AppGetCount[166], AppGetCountSucceed[164], ExpectRecv[164], NetRecv[164], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:28:45:0475] | GigEVisionManager.cpp-L2308: AppGetCount[166], AppGetCountSucceed[164], ExpectRecv[164], NetRecv[164], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
